ms_name	cpu_mean	cpu_variance	memory_mean	memory_variance
ms-10000	0.0251979166666691	7.04286024304687e-06	0.468350748221079	8.5631290700238e-09
ms-1003	0.10128333334066	0	0.390121142069499	0
ms-10038	0.0791458333334756	0.000353820312501134	0.69867115550571	1.00021277011157e-07
ms-10039	0.0466145833333333	2.74316406198582e-06	0.727484464645386	1.30296257339069e-07
ms-10077	0.20951999999868	0.000130339631220283	0.613641083240509	4.1229914614465e-05
ms-10171	0.0641699999989942	1.1664000021726e-06	0.49101996421814	4.78053152619395e-11
ms-10175	0.0892211111117827	0	0.609584967295329	0
ms-10294	0.0631770833337214	2.58353949664953e-05	0.477339585622152	2.98803881959327e-05
ms-10336	0.112739583333799	3.41010199616397e-05	0.702983419100444	2.5491079058939e-06
ms-10358	0.405989999994636	0	0.491415977478027	0
ms-10386	0.0605609126995226	0.000382158154575745	0.407903790473938	6.00351843300166e-06
ms-10389	0.228059999998659	0	0.747226715087891	0
ms-10419	0.137934613807732	0.00031851138162907	0.599336262905236	2.86102766623078e-07
ms-1046	0.541597222226361	0.00577205825674471	0.676304128434923	9.33141401208263e-07
ms-1048	0.355781020413628	0.00023006750826957	0.669017700921921	1.22036428340642e-05
ms-10489	0.103747474747378	0.000323166555068071	0.78801965713501	5.18117564893038e-05
ms-10501	0.210570000004023	0.000510308099656651	0.616984208424886	1.17870513349771e-07
ms-10535	0.127465714288077	0.000417036195843289	0.661209969293504	7.26056467414859e-08
ms-10556	0.0771412225013075	0.000127472902354259	0.41117168797387	5.13671334914887e-06
ms-10595	0.11078233333348	0.000352786199542311	0.697346909840902	7.83545059675821e-06
ms-10610	0.13736666666499	0.000203125451325992	0.721303431193034	1.53724663823595e-05
ms-10654	0.201265624999845	0.000372247694213821	0.940008620421092	3.25335038316633e-07
ms-10666	0.133079999998212	0	0.718514124552409	0
ms-10696	0.0464579999999958	5.57085600043014e-06	0.626257991790772	6.39482526215333e-07
ms-1071	0.0571480555549755	0.000266006953878693	0.649322456783719	1.13713892381917e-07
ms-10720	0.0478958333333139	4.66927083356212e-06	0.642220437526703	2.17009284616132e-08
ms-10803	0.093150000013411	0	0.497315406799316	0
ms-10811	0.690209999995306	0.00224378639949121	0.573458088768853	2.58536001189161e-07
ms-1082	0.124946428571517	0.00017429921344084	0.763520933332898	7.11833856810458e-07
ms-10887	0.129914722222253	2.93609994594328e-05	0.506251732508341	5.28974301990556e-07
ms-10959	0.0955799999982119	0	0.510674158732096	0
ms-11040	0.0571499999966472	0	0.46276585261027	0
ms-11051	0.0983988888884411	1.31074691324671e-05	0.848755924789994	1.70345612939279e-09
ms-11099	0.0126354166665503	2.39691840011802e-07	0.162399927775065	4.9133177526528e-09
ms-11111	0.0294583333326348	0	0.60399595896403	0
ms-1112	0.157019999999553	0	0.532159169514974	0
ms-11204	0.159499999994619	0	0.6720290184021	0
ms-11266	0.130859999999811	3.52835999972616e-05	0.352397441864014	4.04219867478163e-13
ms-11315	0.149466666668498	8.38691047681898e-23	0.661884705225627	6.86419809881045e-07
ms-11349	0.0424238095238531	4.02038397554137e-07	0.427711168924967	1.49763460891921e-09
ms-11384	0.0756899999999987	3.24000000014137e-08	0.408725261688232	4.60431692772545e-10
ms-11406	0.104400000000838	0	0.375347932179769	0
ms-1146	0.219509999996983	7.56900000194451e-07	0.580824772516886	6.51068155042969e-07
ms-11461	0.452536464648716	0.00230635082459791	0.819799596613104	2.02651921580552e-06
ms-11550	0.144550000004884	7.04107458101624e-05	0.69357164700826	2.87355419459345e-08
ms-116	0.0833020833340318	1.0427517396197e-07	0.809835195541382	1.87938553608546e-08
ms-11616	0.121607999999262	0.000111920615951409	0.63378651936849	0.000241557300382233
ms-11642	0.342617142852928	0.0024847500492722	0.782499585832868	2.54561251647647e-05
ms-11686	0.104964999998376	0.00191100122479019	0.662903944651286	6.96305354368731e-05
ms-11718	0.635759999996983	0	0.689493497212728	0
ms-11733	0.296889843751832	0.00206007792416305	0.637100468079249	2.05562210034117e-05
ms-1176	0.0534480000000447	1.00532159939285e-05	0.409810924530029	6.02072816238644e-07
ms-11787	0.054511666666988	4.38737365774826e-05	0.72711855173111	0.00021823280340014
ms-11819	0.0889200000017881	0	0.577330907185872	0
ms-11821	0.341640000008047	0	0.59428866704305	0
ms-11848	0.285270000000077	0.000123694199998366	0.684423605600993	2.71820950998758e-07
ms-11856	0.140944444443766	0.00035442596540617	0.604773733350966	3.12974530791106e-09
ms-11893	0.0403676543209758	7.66976619287419e-07	0.627659303170663	1.64428792979085e-06
ms-11903	0.174505935672067	0.00275089224321255	0.886293755637275	1.58285835190337e-05
ms-11944	0.1499550000038	8.45651249542012e-05	0.658647272321913	1.0545057721411e-09
ms-11945	0.222544571429065	0.00107015596928287	0.728348763783773	6.55968075686071e-07
ms-11949	0.387280370371347	0.000711674035834627	0.697591984713519	1.69898003531115e-07
